Make,Model,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,,Total Sales
BMW,330e, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,19,44,111,137,218,269,323,415,630,870,999,"1,143","1,508","1,768","2,243","2,739","3,126","3,535","3,864","4,171","4,648","5,011","5,112","5,254","5,456","5,622","5,772","5,910","6,016","6,208","6,403","6,632","7,005","7,611","7,827","8,012","8,187","8,240","8,267","8,292","8,308","8,313","8,315",832,"8,326","8,330",,"202,041"
Volvo,XC90, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4,4,5,12,86,312,488,666,816,926,"1,092","1,270","1,446","1,594","1,736","1,897","2,101","2,197","2,280","2,383","2,528","2,674","2,876","3,050","3,315","3,551","3,725","3,929","4,297","4,396","4,502","4,595","4,685","4,811","4,944","5,059","5,184","5,304","5,404","5,534","5,684","5,779","5,884","6,039","6,139","6,259","6,429","6,539","6,664","6,839","6,839","6,839","6,839",,"188,450"
Toyota,Rav4 EV, -   , -   , -   , -   , -   , -   , -   , -   ,61,108,140,192,217,269,402,472,556,600,709,940,"1,107","1,198","1,260","1,288","1,351","1,452","1,525","1,594","1,743","1,834","1,902","2,130","2,255","2,352","2,435","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472","2,472",,"180,884"
Cadillac,ELR, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,6,47,105,186,247,299,396,584,780,891,"1,043","1,198","1,316","1,408","1,535","1,627","1,731","1,847","1,909","1,975","2,020","2,056","2,138","2,205","2,340","2,407","2,498","2,602","2,697","2,742","2,836","2,851","2,857","2,863","2,866","2,871","2,874","2,877","2,877","2,879","2,881","2,881","2,888","2,890","2,891","2,891","2,891","2,891","2,891","2,891","2,891","2,891","2,891","2,891","2,891","2,891","2,891","2,891","2,891","2,891","2,891","2,891","2,891","2,891","2,891","2,891","2,891","2,891","2,891","2,891","2,891","2,891","2,891",,"166,865"
Mitsubishi,i-MiEV,36,80,136,215,300,333,366,403,439,469,511,588,845,"1,182","1,213","1,340","1,431","1,470","1,516","1,546","1,566","1,594","1,606","1,617","1,618","1,621","1,645","1,657","1,692","1,714","1,731","1,751","1,766","1,783","1,801","1,813","1,816","1,818","1,828","1,844","1,862","1,885","1,897","1,903","1,906","1,915","1,919","1,928","1,930","1,935","1,936","1,942","1,944","1,948","1,968","1,993","2,010","2,014","2,019","2,022","2,023","2,026","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028","2,028",,"160,577"
Porsche,Panamera E-Hybrid, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,35,39,86,227,284,340,403,456,567,630,698,780,877,934,965,"1,026","1,066","1,110","1,140","1,161","1,195","1,218","1,254","1,295","1,323","1,356","1,372","1,399","1,432","1,455","1,480","1,506","1,528","1,549","1,608","1,636","1,674","1,762","1,765","1,767","1,768","1,771","1,773","1,774","1,774","1,774","1,775","1,776","1,778","1,783","1,783","1,784","1,786","1,835","2,171","2,446","2,614","2,809","3,009","3,219","3,389","3,589","3,819","3,969","4,129","4,324","4,479","4,649","4,844","5,009","5,174","5,349","5,522","5,695","5,879",,"153,419"
Mitsubishi,Outlander PHEV, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,99,399,722,"1,095","1,368","1,665","2,055","2,405","2,771","3,149","3,458","3,834","4,265","4,398","4,555","4,896","5,059","5,291","5,513","5,726","6,003","6,179","6,434","6,806","7,075",,"95,220"
Kia,Niro PHEV, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,155,401,628,748,966,"1,247","1,472","1,818","2,131","2,454","3,073","3,389","3,668","4,173","4,403","4,648","4,977","5,328","5,653","5,953","6,328","6,636","6,961","7,270",,"84,480"
Honda,Fit EV, -   , -   , -   , -   , -   , -   ,7,16,32,48,74,93,101,116,139,161,176,384,447,513,548,588,611,662,692,725,762,812,845,883,925,980,"1,009","1,032","1,037","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069","1,069",,"79,627"
Mercedes,C350e, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,171,381,432,449,452,459,459,571,783,909,958,974,988,"1,017","1,189","1,397","1,555","1,721","1,897","2,062","2,232","2,314","2,389","2,469","2,709","2,849","2,994","3,129","3,302","3,517","3,752","3,982","4,172","4,302","4,544","4,744","4,881",,"77,105"
